Country,Code,Year,Share of the richest quintile in total income or expenditure,Share of the 4th quintile in total income or expenditure,Share of the 3rd quintile in total income or expenditure,Share of the 2nd quintile in total income or expenditure,Share of the poorest quintile in total income or expenditure
Albania,ALB,1996,36.11512126,23.29695647,17.73456445,13.70072494,9.15263288
Albania,ALB,2002,40.36071525,22.21301379,16.4925619,12.58026304,8.353446021
Albania,ALB,2005,39.17511144,22.49855165,17.02522691,12.89846508,8.402644921
Albania,ALB,2008,38.99351535,22.22781052,16.83621118,13.07205641,8.870406539
Albania,ALB,2012,37.82347694,22.80875632,17.34077516,13.17436957,8.852622003
Albania,ALB,2014,41.67524372,23.31824085,16.44523285,11.53451153,7.026771054
Albania,ALB,2015,40.64919901,22.99737774,16.50625967,12.14588656,7.701277026
Albania,ALB,2016,41.18831678,23.22448204,16.42109523,11.84618459,7.319921362
Albania,ALB,2017,40.69327843,23.25714899,16.51337316,11.98572813,7.550471294
Albania,ALB,2018,38.19181807,23.34443793,17.48044091,13.04530224,7.938000854
Albania,ALB,2019,39.1758185,22.96202713,16.87481696,12.73053418,8.256803228
Algeria,DZA,1988,47.15175137,20.63880786,14.932974,10.73732625,6.539140524
Algeria,DZA,1995,42.61678382,22.62921578,16.23655414,11.55164506,6.965801198
Algeria,DZA,2011,37.21874142,22.28439137,17.47138806,13.66489727,9.360581881
Angola,AGO,2000,56.11421083,20.157941,12.71153214,7.837762796,3.178553239
Angola,AGO,2008,48.5450646,21.94314524,14.46295846,9.6201768,5.428654895
Angola,AGO,2018,55.56344671,20.4374995,12.56563126,7.675790249,3.757632281
Argentina - urban,,1980,46.55893373,22.59046084,15.36346739,10.19084621,5.296291838
Argentina - urban,,1986,48.53056782,21.82620559,14.64582886,9.871242667,5.126155058
Argentina - urban,,1987,50.58329255,21.46200329,14.06625324,9.312473993,4.575976926
Argentina - urban,,1991,52.54665478,20.29838453,13.29692867,9.061461559,4.796570451
Argentina - urban,,1992,50.86159775,21.48091591,13.86330021,9.193714117,4.600472011
Argentina - urban,,1993,49.90475059,22.01117966,14.31938006,9.314162702,4.45052699
Argentina - urban,,1994,50.96132795,21.6050396,14.03245851,9.02365132,4.377522627
Argentina - urban,,1995,53.78895562,20.75952772,13.26896893,8.420362825,3.762184907
Argentina - urban,,1996,53.96971036,21.1806948,13.13705758,8.197539542,3.51499772
Argentina - urban,,1997,53.65239553,21.34985977,13.24633797,8.203803887,3.547602839
Argentina - urban,,1998,55.07800616,21.0134354,12.70049801,7.800051652,3.408008773
Argentina - urban,,1999,54.16008114,21.27789017,13.08675031,7.986150468,3.48912791
Argentina - urban,,2000,55.14990436,21.3135463,12.77394242,7.57664763,3.185959291
